,book_id,5 star,4 star,3 star,2 star,1 star,total_review_count,ratings_count
0,77203.The_Kite_Runner,1582498,918930,308702,79972,45210,90233,2935312
30,929.Memoirs_of_a_Geisha,822393,680546,318849,71382,29326,34099,1922496
60,128029.A_Thousand_Splendid_Suns,804612,444222,134258,24384,9736,69429,1417212
90,19063.The_Book_Thief,1361096,660576,232386,59599,31637,134879,2345294
120,4214.Life_of_Pi,546211,546334,302318,98275,51450,51257,1544588
150,7244.The_Poisonwood_Bible,320002,221357,110605,38662,23798,25631,714424
180,2429135.The_Girl_with_the_Dragon_Tattoo,1398013,999070,412923,121487,85624,74429,3017117
210,48855.The_Diary_of_a_Young_Girl,1665869,1059179,524780,135255,79607,37324,3464690
240,1848.Wild_Swans,53651,35638,13270,3084,1766,6855,107409
270,40873273-snow-flower-and-the-secret-fan,136187,143444,66044,13211,4308,19183,363194
300,9777.The_God_of_Small_Things,104426,95256,55108,18496,8462,17438,281748
330,77344.Angela_s_Ashes,260599,214643,95539,24326,11190,13538,606297
360,28.Notes_from_a_Small_Island,33739,41654,24760,5978,2199,4956,108330
390,1617.Night,644727,349512,127357,27594,13577,34967,1162767
420,1232.The_Shadow_of_the_Wind,306426,179121,70990,19776,8539,46598,584852
450,24.In_a_Sunburned_Country,39079,42613,19248,3663,1657,6399,106260
480,2728527-the-guernsey-literary-and-potato-peel-pie-society,318345,256818,105043,24754,10396,59958,715356
510,49436.Three_Cups_of_Tea,87805,115501,89266,31730,17082,22405,341384
540,9516.Persepolis,91323,71176,24623,5012,2144,11022,194278
570,781787.Out_of_Africa,13934,14806,8988,2620,1045,2441,41393
600,9712.Love_in_the_Time_of_Cholera,173459,162062,93374,33466,15217,25183,477578
630,54777620-lost-in-yaba,598,443,232,133,150,26,1556
656,7061.The_No_1_Ladies_Detective_Agency,74713,91147,64649,18285,7984,12675,256778
686,1078.The_Good_Earth,91538,84355,46353,13567,6131,11109,241944
716,5060378-the-girl-who-played-with-fire,400799,343665,117509,20621,7101,36199,889695
746,7624.Lord_of_the_Flies,747236,917049,670337,245895,140686,49811,2721203
776,37781.Things_Fall_Apart,88962,126023,89124,29871,12142,17843,346122
806,7603.Reading_Lolita_in_Tehran,30994,45596,35580,13053,5509,8546,130732
836,43015.A_Long_Way_Gone,76736,67637,28291,6033,2893,11674,181590
866,45195.A_Passage_to_India,17762,28006,21584,6916,2374,3850,76642
896,3591262-cutting-for-stone,190237,113347,40347,11523,5935,27024,361389
926,9717.The_Unbearable_Lightness_of_Being,182663,143163,69350,21059,8027,21162,424262
956,19501.Eat_Pray_Love,489047,468488,410355,184377,120108,56829,1672375
986,10964.Outlander,545511,248237,116650,42865,31433,51378,984696
1016,24280082-send-more-idiots,67,89,56,28,4,55,244
1046,81227.Infidel,41060,30199,11915,3018,2269,6828,88461
1076,12555.The_Bonesetter_s_Daughter,38457,55042,27523,4261,1125,3881,126408
1106,1124499.Murder_on_the_Orient_Express,227514,222144,85054,12487,2926,35217,550125
1136,27.Neither_Here_nor_There,21974,26113,16795,4690,2082,3388,71654
1166,6178648-nothing-to-envy,44870,28203,5813,986,603,8746,80475
1196,7763.The_Joy_Luck_Club,221272,244812,136563,33521,15782,11798,651950
1226,55403.Black_Hawk_Down,29739,22301,7674,1267,566,1817,61547
1256,11275.The_Wind_Up_Bird_Chronicle,112426,96357,40254,10626,3462,18083,263125
1286,3876.The_Sun_Also_Rises,125595,144486,99620,34281,13347,16583,417329
1316,11012.Dubliners,42854,53172,35694,9999,3201,7768,144920
1346,33600.Shantaram,106308,58931,23504,7933,4366,15732,201042
1376,355697.All_Quiet_on_the_Western_Front,171920,141630,75947,22776,10381,15146,422654
1406,4989.The_Red_Tent,275347,183647,82373,23467,11439,21100,576273
1436,48132.My_Family_and_Other_Animals,23318,17479,7648,1981,912,4355,51338
1466,15811231-daimones,169,173,133,77,76,181,628
1496,270032.Seven_Years_in_Tibet,8633,9298,4074,808,276,1301,23089
1526,4929.Kafka_on_the_Shore,173626,159809,63594,16515,6295,32722,419839
1556,43944.Suite_Fran_aise,20869,27615,16319,4932,1880,7002,71615
1586,33917.The_Namesake,85141,107673,53227,10918,2766,13964,259725
1616,2864286-atonement,168759,182474,99117,31321,13994,20591,495665
1646,2187.Middlesex,253082,209894,104902,34481,21178,25145,623537
1676,5211.A_Fine_Balance,81192,41727,14339,4022,2059,10519,143339
1706,613283.Princess,13170,13587,6962,1698,779,2780,36196
1736,16115612-and-the-mountains-echoed,127677,140064,66746,13142,3512,31279,351141
1766,3412.The_Thorn_Birds,166727,107336,50672,11317,3988,7303,340040
1796,5960325-shanghai-girls,41270,64491,35181,7013,2053,10297,150008
1826,556602.Sarah_s_Key,196203,174105,69505,15796,5292,30607,460901
1856,295.Treasure_Island,131439,170497,124024,27722,8308,14941,461990
1886,297673.The_Brief_Wondrous_Life_of_Oscar_Wao,83089,93729,52845,17844,7107,20843,254614
1916,94053.River_Town,5724,4774,1614,316,95,1152,12523
1946,28239.Dark_Star_Safari,4847,5786,2710,716,319,967,14378
1976,320.One_Hundred_Years_of_Solitude,442755,241723,130725,53752,36061,40463,905016
2006,18143977-all-the-light-we-cannot-see,757141,451803,162425,40757,17652,93807,1429778
2036,9838.The_Bookseller_of_Kabul,12131,20522,14133,3353,1151,3633,51290
2066,46170.For_Whom_the_Bell_Tolls,98956,102121,56712,15525,5893,8146,279207
2096,26404001-the-tears-of-dark-water,1316,1342,443,85,36,464,3222
2126,1624.West_with_the_Night,15843,12409,5782,1440,686,3647,36160
2156,103342.Stolen_Lives,13015,11042,5593,1338,491,3410,31479
